question,answer
Máy tính xách tay của tôi rất chậm.,mua một cái mới.
mua một cái mới.,Tôi sẽ nếu tôi có tiền.
Tôi sẽ nếu tôi có tiền.,Tại sao nó lại chậm như vậy?
Tại sao nó lại chậm như vậy?,đó là một câu hỏi hay.
đó là một câu hỏi hay.,Bạn đã đưa nó đến một cửa hàng máy tính?
Bạn đã đưa nó đến một cửa hàng máy tính?,Tôi sẽ nếu tôi có tiền.
Tôi sẽ nếu tôi có tiền.,Vâng tôi đoán bạn phải sống với nó.
Vâng tôi đoán bạn phải sống với nó.,Đôi khi tôi muốn ném nó ra ngoài cửa sổ.
Đôi khi tôi muốn ném nó ra ngoài cửa sổ.,Bạn không muốn làm điều đó.
Bạn không muốn làm điều đó.,tại sao không?
tại sao không?,Bạn có thể đánh vào đầu ai đó.
Bữa tối là gì?,tôi không chắc.
tôi không chắc.,Làm thế nào về một chiếc bánh pizza?
Làm thế nào về một chiếc bánh pizza?,Bạn đã có pizza cho bữa trưa.
Bạn đã có pizza cho bữa trưa.,Nhưng tôi yêu pizza.
Nhưng tôi yêu pizza.,Mọi người đều thích pizza.
Mọi người đều thích pizza.,Vậy tại sao tôi không thể ăn pizza cho bữa tối?
Vậy tại sao tôi không thể ăn pizza cho bữa tối?,Bởi vì bạn cần sự đa dạng.
Bởi vì bạn cần sự đa dạng.,Variety là gì?
Variety là gì?,Những điều khác nhau - không giống nhau mọi lúc.
Những điều khác nhau - không giống nhau mọi lúc.,Ý bạn là giống như một chiếc bánh pizza pepperoni thay vì pizza phô mai?
Ý bạn là giống như một chiếc bánh pizza pepperoni thay vì pizza phô mai?,Không ý tôi là một món salad thay vì một chiếc bánh pizza.
Chúng ta cần tiết kiệm tiền.,Tại sao chúng ta cần tiết kiệm tiền?
Tại sao chúng ta cần tiết kiệm tiền?,Bởi vì chúng ta cần mua một ngôi nhà.
Bởi vì chúng ta cần mua một ngôi nhà.,Nhưng một ngôi nhà rất đắt đỏ.
Nhưng một ngôi nhà rất đắt đỏ.,Đó là lý do tại sao chúng ta cần tiết kiệm tiền.
Đó là lý do tại sao chúng ta cần tiết kiệm tiền.,Chúng ta cần tiết kiệm bao nhiêu?
Chúng ta cần tiết kiệm bao nhiêu?,Chúng ta cần tiết kiệm đủ cho một khoản thanh toán xuống.
Chúng ta cần tiết kiệm đủ cho một khoản thanh toán xuống.,cái đó bao nhiêu?
cái đó bao nhiêu?,Đó là khoảng 30.000 đô la.
Đó là khoảng 30.000 đô la.,Ba mươi ngàn đô la!Điều đó sẽ mất mãi mãi.
Ba mươi ngàn đô la!Điều đó sẽ mất mãi mãi.,Không phải nếu chúng ta tiết kiệm từng xu.
Không phải nếu chúng ta tiết kiệm từng xu.,được rồi.Đây là bảy đồng xu.
Đại dương quá lớn.,Bạn không thể nhìn thấy sự kết thúc của nó.
Bạn không thể nhìn thấy sự kết thúc của nó.,Nó tiếp tục và mãi mãi.
Nó tiếp tục và mãi mãi.,Và nó cũng sâu.
Và nó cũng sâu.,Tôi nghĩ nó sâu năm dặm.
Tôi nghĩ nó sâu năm dặm.,Có cá ở phía dưới không?
Có cá ở phía dưới không?,Có cá ở trên cùng và phía dưới.
Có cá ở trên cùng và phía dưới.,Có nhiều cá hoặc nhiều người hơn không?
Có nhiều cá hoặc nhiều người hơn không?,Tôi nghĩ rằng có nhiều cá hơn.
Tôi nghĩ rằng có nhiều cá hơn.,tôi cũng mong là như vậy.Tôi thích ăn cá.
Tôi khó chịu với mẹ tôi.,tại sao vậy?
tại sao vậy?,Tôi đã cảnh báo cô ấy về bạn trai mới của cô ấy.Cô ấy không nghe tôi.
Tôi đã cảnh báo cô ấy về bạn trai mới của cô ấy.Cô ấy không nghe tôi.,chuyện gì đã xảy ra thế?
chuyện gì đã xảy ra thế?,Tôi đã cho cô ấy 1.000 đô la cho sinh nhật của cô ấy.Tôi bảo cô ấy tiêu nó cho chính mình.
Tôi đã cho cô ấy 1.000 đô la cho sinh nhật của cô ấy.Tôi bảo cô ấy tiêu nó cho chính mình.,Điều đó rất tốt đẹp của bạn.
Điều đó rất tốt đẹp của bạn.,Tôi phát hiện ra rằng cô ấy đã đưa nó cho bạn trai mới của mình.
Tôi phát hiện ra rằng cô ấy đã đưa nó cho bạn trai mới của mình.,Tại sao cô ấy lại làm như vậy?
Tại sao cô ấy lại làm như vậy?,Anh ấy nói anh ấy sẽ mua cho cô ấy một chiếc nhẫn đẹp.
